density,total_population,cancer,binge,csmoking,lpa,sleep,cancer_risk
4.1,2255,6.4,16.7,18.9,24.0,32.3,6-6.5
51.1,31083,6.4,19.9,12.5,15.8,29.7,6-6.5
45.9,25563,6.6,19.2,14.4,16.2,30.6,6.5-7
2.0,4932,6.5,17.9,18.2,22.3,33.0,6.5-7
82.0,327077,6.2,17.5,14.8,21.2,32.0,6-6.5
4.2,10035,6.4,17.1,16.9,23.2,33.0,6-6.5
1508.4,942596,6.1,17.0,10.9,21.9,33.1,6-6.5
1212.9,891590,6.0,16.4,13.2,24.0,35.4,6-6.5
196.0,180429,6.7,18.5,14.0,20.3,32.9,6.5-7
440.3,162611,6.4,18.5,13.2,21.3,33.0,6-6.5
1414.2,854873,6.2,16.3,15.0,24.8,37.7,6-6.5
399.1,265342,6.5,18.7,13.6,24.9,37.9,6.5-7
367.8,150866,6.6,19.3,13.6,21.3,32.6,6.5-7
228.1,116984,6.6,17.7,17.3,23.7,37.5,6.5-7
310.1,181760,6.4,16.4,18.9,31.0,39.3,6-6.5
1315.2,560636,6.1,19.0,15.4,26.8,36.6,6-6.5
252.5,236403,7.0,18.0,17.5,27.3,35.7,7+
11564.4,705989,6.0,21.9,14.2,19.9,36.5,6-6.5
308.6,270032,6.5,16.5,16.1,24.8,36.0,6.5-7
50.3,29434,6.7,20.7,24.1,32.9,43.2,6.5-7
228.7,173469,6.7,19.4,22.1,30.9,39.8,6.5-7
97.2,28568,6.4,18.1,26.8,35.5,41.4,6-6.5
597.7,607014,6.5,19.7,18.0,26.7,40.7,6.5-7
1616.2,1955251,5.7,18.5,14.9,28.2,41.3,5.5-6
24.8,14062,6.6,18.9,25.0,33.9,41.0,6.5-7
280.9,191064,6.7,20.3,19.2,25.0,39.8,6.5-7
260.2,151369,6.8,19.7,23.3,29.2,42.9,6.5-7
365.3,220763,6.6,19.1,19.7,28.1,41.0,6.5-7
194.1,387966,6.1,19.2,15.6,24.6,34.1,6-6.5
90.5,72154,6.6,18.4,25.9,32.6,42.4,6.5-7
